Amount,Category,Unit,Init: 14000
400,1,Goel,
180,2,Zomato,
-400,0,Mumma,
164,2,Zomato,
20,2,Talwar,
-300,0,Papa,
10,2,Talwar,
80,5,Travel,
40,2,Juice corner,
30,2,Goel,
260,8,Google,
50,2,Goel,
105,2,Santosh Sweets,
300,1,Goel,
50,2,Goel,
190,5,Travel,
210,5,Travel,
60,5,Travel,
120,2,Dewsis,
1000,4,Travel,
60,2,Dewsis,
500,0,Travel,
1300,4,Travel,
100,5,Travel,
290,2,Zomato,
111,7,Temple ,
20,5,Travel,
-63,1,Credit,
120,6,Amar fax,
90,5,Travel,
164,2,Zomato,
37,2,Zomato,
-250,1,Travel,
70,6,Amar fax,
345,3,Zomato,
